"Kod";"Nazwa";"styczeń;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"styczeń;kurczęta patroszone - za 1kg;cena;2016;[zł]";"styczeń;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"styczeń;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"styczeń;margaryna - za 400 g;cena;2016;[zł]";"styczeń;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"styczeń;ziemniaki - za 1 kg;cena;2016;[zł]";"styczeń;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"styczeń;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"styczeń;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"luty;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"luty;kurczęta patroszone - za 1kg;cena;2016;[zł]";"luty;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"luty;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"luty;margaryna - za 400 g;cena;2016;[zł]";"luty;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"luty;ziemniaki - za 1 kg;cena;2016;[zł]";"luty;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"luty;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"luty;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"marzec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"marzec;kurczęta patroszone - za 1kg;cena;2016;[zł]";"marzec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"marzec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"marzec;margaryna - za 400 g;cena;2016;[zł]";"marzec;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"marzec;ziemniaki - za 1 kg;cena;2016;[zł]";"marzec;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"marzec;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"marzec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"kwiecień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"kwiecień;kurczęta patroszone - za 1kg;cena;2016;[zł]";"kwiecień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"kwiecień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"kwiecień;margaryna - za 400 g;cena;2016;[zł]";"kwiecień;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"kwiecień;ziemniaki - za 1 kg;cena;2016;[zł]";"kwiecień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"kwiecień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"kwiecień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"maj;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"maj;kurczęta patroszone - za 1kg;cena;2016;[zł]";"maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"maj;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"maj;margaryna - za 400 g;cena;2016;[zł]";"maj;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"maj;ziemniaki - za 1 kg;cena;2016;[zł]";"maj;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"maj;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"czerwiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"czerwiec;kurczęta patroszone - za 1kg;cena;2016;[zł]";"czerwiec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"czerwiec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"czerwiec;margaryna - za 400 g;cena;2016;[zł]";"czerwiec;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"czerwiec;ziemniaki - za 1 kg;cena;2016;[zł]";"czerwiec;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"czerwiec;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"czerwiec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"lipiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"lipiec;kurczęta patroszone - za 1kg;cena;2016;[zł]";"lipiec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"lipiec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"lipiec;margaryna - za 400 g;cena;2016;[zł]";"lipiec;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"lipiec;ziemniaki - za 1 kg;cena;2016;[zł]";"lipiec;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"lipiec;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"lipiec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"sierpień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"sierpień;kurczęta patroszone - za 1kg;cena;2016;[zł]";"sierpień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"sierpień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"sierpień;margaryna - za 400 g;cena;2016;[zł]";"sierpień;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"sierpień;ziemniaki - za 1 kg;cena;2016;[zł]";"sierpień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"sierpień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"sierpień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"wrzesień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"wrzesień;kurczęta patroszone - za 1kg;cena;2016;[zł]";"wrzesień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"wrzesień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"wrzesień;margaryna - za 400 g;cena;2016;[zł]";"wrzesień;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"wrzesień;ziemniaki - za 1 kg;cena;2016;[zł]";"wrzesień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"wrzesień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"wrzesień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"październik;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"październik;kurczęta patroszone - za 1kg;cena;2016;[zł]";"październik;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"październik;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"październik;margaryna - za 400 g;cena;2016;[zł]";"październik;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"październik;ziemniaki - za 1 kg;cena;2016;[zł]";"październik;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"październik;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"październik;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"listopad;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"listopad;kurczęta patroszone - za 1kg;cena;2016;[zł]";"listopad;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"listopad;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"listopad;margaryna - za 400 g;cena;2016;[zł]";"listopad;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"listopad;ziemniaki - za 1 kg;cena;2016;[zł]";"listopad;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"listopad;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"listopad;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";"grudzień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2016;[zł]";"grudzień;kurczęta patroszone - za 1kg;cena;2016;[zł]";"grudzień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;[zł]";"grudzień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2016;[zł]";"grudzień;margaryna - za 400 g;cena;2016;[zł]";"grudzień;olej rzepakowy produkcji krajowej - za 1l;cena;2016;[zł]";"grudzień;ziemniaki - za 1 kg;cena;2016;[zł]";"grudzień;spodnie (6-11 lat) z tkaniny typu jeans;cena;2016;[zł]";"grudzień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;[zł]";"grudzień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2016;[zł]";
0000000;"POLSKA";32,68;6,83;2,36;3,96;3,87;5,90;1,22;66,95;196,98;3,79;32,57;6,64;2,35;3,96;3,86;5,82;1,23;65,89;197,13;3,79;32,61;6,84;2,32;3,90;3,92;5,76;1,24;68,94;198,25;3,81;32,59;6,67;2,31;3,84;3,96;5,81;1,28;69,75;197,68;3,81;32,59;7,05;2,31;3,82;3,98;5,79;1,53;69,15;197,23;3,82;32,47;6,96;2,30;3,83;3,90;5,81;2,24;67,90;198,08;3,82;32,44;7,12;2,30;3,89;3,88;5,82;1,46;65,51;197,84;3,83;32,55;7,23;2,31;4,03;3,95;5,83;1,16;67,26;197,77;3,83;32,56;7,06;2,31;4,19;3,85;5,90;1,06;69,91;199,51;3,84;32,38;6,74;2,35;4,51;3,76;5,91;0,97;70,64;199,81;3,85;32,17;6,67;2,36;4,70;3,95;5,88;0,98;69,25;199,65;3,85;32,53;6,45;2,36;4,90;3,88;5,88;0,98;68,78;199,02;3,85;
0200000;"DOLNOŚLĄSKIE";35,30;6,54;2,46;4,01;3,51;6,33;1,27;62,73;191,76;4,37;35,30;6,74;2,52;3,99;3,60;6,31;1,29;59,62;189,99;4,37;35,00;6,79;2,41;4,05;3,58;6,13;1,29;66,91;192,93;4,45;35,00;6,61;2,45;3,86;3,65;6,23;1,32;66,78;190,46;4,47;35,00;7,05;2,43;3,90;3,77;6,36;1,47;63,73;190,46;4,48;34,35;6,87;2,48;3,98;3,57;6,44;2,32;63,73;196,05;4,48;34,16;7,23;2,47;3,92;3,69;6,37;1,56;62,11;195,99;4,49;34,23;7,21;2,46;4,21;3,63;6,27;1,34;63,43;195,35;4,49;34,23;6,94;2,50;4,30;3,68;6,38;1,18;67,26;193,35;4,49;33,82;6,51;2,52;4,67;3,64;6,40;1,06;67,26;192,76;4,49;33,82;6,33;2,53;4,78;3,80;6,31;1,06;67,26;192,76;4,49;34,06;6,29;2,51;5,05;3,72;6,46;1,10;66,73;192,76;4,49;
0400000;"KUJAWSKO-POMORSKIE";35,17;7,22;2,32;4,27;3,64;5,78;1,11;72,37;201,74;3,39;34,69;6,94;2,28;4,17;3,52;5,76;1,15;72,37;203,40;3,39;35,45;7,17;2,26;4,11;3,50;5,29;1,15;74,21;204,21;3,39;34,95;7,14;2,25;4,24;3,59;5,77;1,16;72,81;204,77;3,39;35,14;7,34;2,29;4,17;3,71;5,26;1,35;73,76;204,77;3,39;35,60;7,13;2,31;4,02;3,55;5,55;2,24;73,83;204,77;3,39;36,01;7,34;2,26;4,01;3,63;5,49;1,32;72,68;204,77;3,39;36,50;7,30;2,31;4,10;3,67;5,48;1,05;72,68;204,77;3,39;36,80;7,22;2,31;4,28;3,61;5,68;0,98;72,68;205,54;3,39;36,64;6,76;2,25;4,61;3,56;5,49;0,92;74,98;203,23;3,39;36,02;6,63;2,31;4,86;3,59;5,43;0,91;73,53;200,15;3,39;36,15;6,51;2,35;5,04;3,51;5,22;0,88;74,37;196,38;3,39;
0600000;"LUBELSKIE";29,75;6,85;2,32;3,86;3,27;6,04;1,36;73,24;236,66;2,92;29,33;6,84;2,37;3,97;3,51;5,79;1,38;72,13;236,66;2,93;29,75;7,01;2,31;3,87;3,67;5,73;1,38;79,07;236,24;2,98;30,34;6,75;2,35;3,68;3,68;5,89;1,55;78,66;236,24;2,99;29,92;7,08;2,38;3,84;3,65;6,05;1,65;78,66;236,24;2,99;29,09;6,88;2,28;3,93;3,67;6,05;2,30;75,32;237,91;2,99;29,09;7,19;2,33;3,92;3,69;6,16;1,41;75,32;235,99;3,00;29,85;7,42;2,29;3,83;3,64;6,16;1,32;75,32;238,49;3,00;29,02;7,08;2,30;3,97;3,37;6,01;1,13;77,66;235,99;3,00;29,10;6,55;2,39;4,32;3,19;5,85;1,01;77,66;235,99;3,00;28,72;6,66;2,37;4,50;3,39;5,86;1,09;74,94;237,49;3,00;28,72;6,50;2,41;4,77;3,45;5,62;1,09;77,66;237,57;3,00;
0800000;"LUBUSKIE";33,90;7,18;2,42;4,18;3,26;5,80;1,15;72,06;218,56;4,39;33,57;6,91;2,34;4,01;3,34;5,72;1,12;66,18;219,67;4,39;34,03;6,91;2,32;4,01;3,42;5,82;1,13;64,50;230,33;4,39;33,48;6,61;2,37;3,67;3,64;5,77;1,16;66,45;231,44;4,43;32,91;7,01;2,31;3,63;3,59;5,74;1,55;64,34;231,44;4,43;31,37;7,13;2,29;3,57;3,54;5,81;2,24;62,40;231,44;4,43;30,48;7,32;2,31;3,62;3,40;5,77;1,57;60,28;231,44;4,43;31,95;7,49;2,30;3,68;3,59;5,79;1,22;58,52;231,44;4,43;32,15;7,21;2,35;3,92;3,57;5,75;1,18;68,89;239,89;4,43;32,28;7,16;2,35;4,27;3,57;5,81;1,07;68,89;237,78;4,43;32,76;7,08;2,30;4,52;3,46;5,81;1,03;68,89;231,11;4,43;32,98;7,06;2,26;4,77;3,73;5,90;1,07;75,81;224,44;4,43;
1000000;"ŁÓDZKIE";31,10;6,78;2,30;3,88;4,06;5,78;1,08;57,53;220,78;3,60;31,10;6,68;2,31;3,89;4,25;5,71;1,09;57,03;220,78;3,60;31,56;6,89;2,24;3,86;4,34;5,60;1,08;59,53;220,78;3,60;31,49;6,68;2,26;3,87;4,25;5,76;1,13;59,53;220,78;3,60;31,63;7,05;2,23;3,85;4,34;5,62;1,43;56,49;220,78;3,62;31,40;7,00;2,25;3,81;4,18;5,63;2,07;55,89;217,21;3,62;31,47;7,11;2,23;3,90;4,17;5,74;1,33;56,99;217,21;3,63;31,55;7,04;2,23;3,94;4,16;5,77;0,98;59,99;216,49;3,63;31,71;7,14;2,28;4,25;4,16;6,09;0,91;61,90;216,49;3,64;31,62;6,68;2,27;4,50;4,09;6,16;0,84;61,11;219,28;3,64;30,42;6,68;2,31;4,73;4,46;6,00;0,84;61,46;219,28;3,64;32,32;6,42;2,31;4,78;4,12;6,07;0,87;61,46;219,28;3,64;
1200000;"MAŁOPOLSKIE";29,38;6,93;2,52;4,11;4,09;5,82;1,06;66,74;200,99;4,10;29,38;6,63;2,48;3,98;3,99;5,82;1,07;64,20;200,07;4,10;29,38;6,92;2,51;4,03;4,31;5,66;1,07;66,61;200,53;4,10;29,46;6,92;2,51;3,87;4,43;5,84;1,15;67,61;201,30;4,10;29,02;7,30;2,52;3,69;4,40;5,89;1,49;69,45;201,30;4,05;29,02;6,97;2,47;3,79;4,29;5,69;2,24;67,76;201,30;4,05;28,81;7,24;2,49;3,84;4,23;5,77;1,34;66,56;201,30;4,05;29,20;7,24;2,46;4,01;4,40;5,96;1,04;69,36;195,15;4,06;29,51;7,24;2,47;4,39;4,08;6,09;0,92;75,51;201,76;4,16;29,41;6,71;2,57;4,81;3,95;5,95;0,94;77,62;200,07;4,16;29,57;6,70;2,58;4,78;4,12;6,06;0,91;73,71;203,53;4,16;29,82;6,53;2,58;4,99;4,05;6,12;0,85;72,54;204,30;4,16;
1400000;"MAZOWIECKIE";31,21;7,01;2,43;4,04;4,26;6,15;1,45;70,80;198,88;3,63;31,17;6,90;2,37;4,07;4,21;6,14;1,45;68,34;199,29;3,63;31,63;7,02;2,36;3,94;4,42;6,17;1,47;70,94;199,64;3,63;31,06;6,87;2,31;3,95;4,41;6,13;1,48;75,31;200,48;3,64;31,35;7,14;2,37;4,06;4,30;6,04;1,77;78,79;199,61;3,64;30,88;7,04;2,31;3,99;4,31;6,14;2,35;75,93;199,61;3,64;31,13;7,26;2,29;4,08;4,10;6,10;1,48;70,93;203,52;3,65;30,86;7,42;2,30;4,16;4,32;6,17;1,17;73,22;203,93;3,66;31,21;7,30;2,35;4,29;4,20;6,19;1,04;73,89;205,27;3,68;30,82;6,88;2,43;4,54;4,14;6,23;0,96;73,20;206,69;3,68;31,06;6,65;2,43;4,62;4,30;6,20;0,99;73,10;210,85;3,68;30,56;6,60;2,37;4,91;4,34;6,14;1,01;70,74;212,14;3,68;
1600000;"OPOLSKIE";32,62;6,38;2,08;3,42;3,50;5,66;1,18;67,48;186,42;3,60;31,19;6,31;2,16;3,52;3,48;5,78;1,20;71,10;188,10;3,60;31,34;6,81;2,03;3,38;3,32;5,66;1,24;70,38;182,85;3,62;31,77;6,50;2,08;3,29;3,53;5,60;1,31;78,95;181,42;3,62;31,10;7,04;2,08;3,38;3,82;5,63;1,64;74,67;181,42;3,62;31,35;6,59;2,08;3,38;3,67;5,63;2,23;67,91;178,57;3,62;31,35;6,98;2,05;3,43;3,57;5,42;1,80;66,41;178,57;3,62;31,35;6,83;2,09;3,59;3,53;5,49;1,20;77,52;178,57;3,62;31,78;6,64;2,09;3,78;3,05;5,76;1,13;77,52;178,42;3,62;31,49;6,24;2,13;4,27;3,31;5,82;1,00;84,67;178,42;3,68;31,49;5,87;2,08;4,53;3,82;5,76;0,98;81,82;177,14;3,68;31,92;5,64;2,18;4,78;3,84;6,02;1,01;81,82;169,14;3,68;
1800000;"PODKARPACKIE";31,08;6,75;2,47;3,94;4,44;5,93;1,09;64,51;182,16;4,00;31,23;6,53;2,48;3,93;4,39;5,56;1,04;64,51;182,16;4,01;30,24;6,78;2,47;3,85;4,48;5,75;1,06;68,84;182,16;4,01;30,64;6,59;2,48;3,82;4,50;5,92;1,10;66,92;182,49;4,02;30,07;7,28;2,37;3,72;4,39;5,92;1,25;66,51;182,49;4,02;30,32;7,22;2,40;3,69;4,28;6,02;1,98;66,26;182,49;4,02;30,90;7,24;2,38;3,88;4,32;6,06;1,40;70,17;182,49;4,05;29,82;7,22;2,41;4,06;4,40;6,13;1,16;68,84;183,33;4,05;29,90;7,20;2,35;4,11;4,59;5,95;1,09;70,15;184,99;4,05;30,82;6,78;2,48;4,48;4,54;6,07;0,98;71,98;185,83;4,05;30,12;6,79;2,49;4,77;4,75;6,15;0,94;69,15;184,99;4,05;30,21;6,22;2,48;5,11;4,53;6,12;0,92;68,98;184,99;4,05;
